poi_id,osm_id,category,name,lat,lon
POI_000088,839471893,petrol_station,Repsol,27.84125,-15.440833
POI_000089,287006027,petrol_station,Vecindario,27.8441078,-15.4458303
POI_000090,839477512,petrol_station,Shell Vecindario,27.851833,-15.440389
POI_000091,839489154,petrol_station,BP Sardina Sur,27.856083,-15.443306
POI_000092,839478215,petrol_station,SHELL SANTA LUCIA,27.8563151,-15.4292263
POI_000093,839482740,petrol_station,Moeve,27.8630964,-15.4357327
POI_000094,839483746,petrol_station,Estación de Servicio Moeve Barranco Balos II,27.8646537,-15.4322255
POI_000095,4130886189,petrol_station,Disa,27.863065,-15.432865
POI_000096,9412926159,petrol_station,Estación de Servicio Moeve Barranco Balos I,27.8647914,-15.4325844
POI_000097,12905143663,petrol_station,Petroprix Agüimes - Calle Algarrobos,27.8590246,-15.4172497
POI_000098,839471258,petrol_station,Repsol,27.8796146,-15.4299613
POI_000099,287006049,petrol_station,DISA Estación de servicio,27.872793,-15.4162493
POI_000100,839486688,petrol_station,Estación de Servicio Repsol,27.8765985,-15.4265945
POI_000101,839477422,petrol_station,DISA AGUIMES,27.9040932,-15.444888
POI_000102,839489761,petrol_station,Shell,27.859833,-15.399278
POI_000103,287006066,petrol_station,DISA Autopista,27.89906,-15.40481
POI_000104,839486261,petrol_station,Estación de Servicio Moeve Ingenio,27.917825,-15.4291643
POI_000105,839486983,petrol_station,Shell Ingenio,27.918278,-15.432556
POI_000106,287006005,petrol_station,Estación de Servicio Disa Vasequillo,27.991806,-15.4953522
POI_000107,839472982,petrol_station,Moeve los Almendros,27.995556,-15.472639
POI_000108,287006038,petrol_station,Moeve El Punto Fielato,27.991778,-15.423861
POI_000109,287006064,petrol_station,Moeve Carrizal,27.909694,-15.407611
POI_000110,8913793579,petrol_station,Estación de Servicio Océano El Carrizal,27.9132109,-15.4116199
POI_000111,8913793577,petrol_station,"Gasolinera Santana Dominguez, S.L.",27.9259843,-15.4025978
POI_000112,7278251357,petrol_station,Moeve,27.9447207,-15.3894226
POI_000113,287006065,petrol_station,DISA CUATRO PUERTAS,27.960778,-15.404806
POI_000114,287006057,petrol_station,Repsol,27.967607,-15.3909696
POI_000115,839483311,petrol_station,Repsol,27.980583,-15.392111
POI_000116,287006056,petrol_station,BP,27.9977529,-15.4019893
POI_000117,839474741,petrol_station,Moeve Cruce Melenara,27.9946193,-15.3941015
POI_000118,839469098,petrol_station,Repsol,28.006056,-15.395333
POI_000119,839471487,petrol_station,Moeve,28.001056,-15.397806
POI_000120,287006060,petrol_station,Repsol,28.010334,-15.3882967
POI_000121,2260915911,petrol_station,Moeve,28.0098078,-15.3900721
POI_000122,287006006,petrol_station,BP SANTA BRIGIDA,28.030333,-15.499611
POI_000123,287006020,petrol_station,Moeve Santa Brígida,28.044694,-15.475194
POI_000124,839473992,petrol_station,Moeve,28.053722,-15.449722
POI_000125,839486384,petrol_station,SHELL Mercalaspalmas,28.040528,-15.417639
POI_000126,287006010,petrol_station,Shell Autovia Arucas,28.1174886,-15.5176424
POI_000127,287006008,petrol_station,BP CRUCE SANTIDAD-ARUCAS,28.1124489,-15.5106011
POI_000128,1942145075,petrol_station,Plenergy,28.0976922,-15.4792024
POI_000129,4580188794,petrol_station,BP,28.0936035,-15.4774485
POI_000130,839475168,petrol_station,REPSOL SAN LORENZO,28.076556,-15.463889
POI_000131,287006018,petrol_station,Moeve,28.090472,-15.459806
POI_000132,839483504,petrol_station,BP San José,28.075571,-15.4174644
POI_000133,287006012,petrol_station,Disa,28.0956303,-15.4516649
POI_000134,287006033,petrol_station,BP Cooperativa Taxis S. Cristobal,28.0980128,-15.4427882
POI_000135,7928648101,petrol_station,Repsol,28.1016268,-15.4469897
POI_000136,287006011,petrol_station,Moeve,28.1169976,-15.4551105
POI_000137,287006023,petrol_station,Moeve el Dragón,28.1013264,-15.4352642
POI_000138,287006025,petrol_station,Moeve,28.1020171,-15.4372038
POI_000139,839485614,petrol_station,Moeve Mercedes,28.110639,-15.439889
POI_000140,1973242701,petrol_station,Moeve,28.1077136,-15.4211567
POI_000141,839481423,petrol_station,BP Las Terrazas,28.026257,-15.3920482
POI_000142,839487929,petrol_station,Moeve Jinamar,28.034139,-15.4135
POI_000143,287006059,petrol_station,BP LA GARITA,28.014333,-15.387583
POI_000144,12516841930,petrol_station,H2GO Repsol,28.0497724,-14.3580794
POI_000145,60584016,petrol_station,Shell,28.0497963,-14.3453216
POI_000146,33106314,petrol_station,Shell,28.1019044,-14.286801
POI_000147,311263401,petrol_station,H2GO Repsol,28.1281406,-16.7579082
POI_000148,287006602,petrol_station,TGAS Hipertrébol,28.120111,-16.739889
POI_000149,6642797188,petrol_station,GM Oil,28.1184213,-16.7399433
POI_000150,287006600,petrol_station,LA ATALAYA,28.125444,-16.740778
POI_000151,311263385,petrol_station,Repsol,28.1259069,-16.7381472
POI_000152,11711893199,petrol_station,Plenergy,28.1267662,-16.738017
POI_000153,301234626,petrol_station,Disa,28.158988,-16.7628344
POI_000154,287006609,petrol_station,Shell,28.1751861,-16.766767
POI_000155,287006233,petrol_station,Disa,28.1534948,-16.6402489
POI_000156,287006206,petrol_station,PCAN,28.130806,-16.464806
POI_000157,903039234,petrol_station,Moeve Abades,28.1309724,-16.4635494
POI_000158,839483804,petrol_station,Moeve,28.157083,-16.509667
POI_000159,903037794,petrol_station,Repsol,28.1664231,-16.433735
POI_000160,660150933,petrol_station,Repsol,28.2226856,-16.4141473
POI_000161,839468298,petrol_station,Moeve,28.236417,-16.439583
POI_000162,839484835,petrol_station,Shell Guimar,28.313,-16.410972
POI_000163,287006140,petrol_station,Disa El Puertito,28.3064729,-16.3864516
POI_000164,839482547,petrol_station,Shell,28.3686834,-16.7194852
POI_000165,839482503,petrol_station,DISA ICOD DE LOS VINOS,28.37225,-16.710194
POI_000166,2060072732,petrol_station,Moeve,28.3789218,-16.700681
POI_000167,401451821,petrol_station,Moeve,28.3792288,-16.6940427
POI_000168,5273601654,petrol_station,PCAN,28.3741303,-16.6506587
POI_000169,839489221,petrol_station,Disa,28.3795714,-16.6190396
POI_000170,2693198524,petrol_station,Repsol,28.3626407,-16.5698215
POI_000171,672531151,petrol_station,Moeve,28.3736027,-16.5900397
POI_000172,839486580,petrol_station,Moeve,28.372556,-16.575
POI_000173,858524164,petrol_station,Repsol,28.377083,-16.571389
POI_000174,839470086,petrol_station,Moeve,28.3902078,-16.6722294
POI_000175,287006222,petrol_station,Tgas,28.38975,-16.665028
POI_000176,839468355,petrol_station,Estación de Servicio Shell Los Realejos,28.384194,-16.577167
POI_000177,10724653045,petrol_station,Estación de Servicio Océano Los Realejos,28.3808945,-16.5757318
POI_000178,10724653046,petrol_station,Petroprix Los Realejos,28.383778,-16.5765966
POI_000179,839476406,petrol_station,Moeve,28.361583,-16.547639
POI_000180,839485311,petrol_station,Shell,28.376444,-16.558389
POI_000181,839470247,petrol_station,Repsol,28.379611,-16.537389
POI_000182,1215898354,petrol_station,Repsol,28.3781899,-16.5124054
POI_000183,839472094,petrol_station,Disa,28.394833,-16.558333
POI_000184,1169521000,petrol_station,BP,28.3980662,-16.5456542
POI_000185,903038006,petrol_station,Moeve,28.3882651,-16.5152199
POI_000186,2552790502,petrol_station,BP,28.3978358,-16.5230872
POI_000187,287006176,petrol_station,BP,28.4137378,-16.5462442
POI_000188,10151365065,petrol_station,Shell,28.4121608,-16.5297046
POI_000189,12905312540,petrol_station,Plenergy Arafo I,28.3327035,-16.3777483
POI_000190,13008763491,petrol_station,Estación de Servicio Repsol Volcán de Arafo,28.3286335,-16.3773156
POI_000191,417055289,petrol_station,Disa,28.4566551,-16.4505496
POI_000192,1119023435,petrol_station,Estación de Servicio Las Banderas,28.4644867,-16.4387184
POI_000193,839471145,petrol_station,Moeve,28.461,-16.415111
POI_000194,2533584140,petrol_station,Moeve,28.4759605,-16.4348871
POI_000195,839486970,petrol_station,El Sauzal,28.4728517,-16.42348
POI_000196,839483261,petrol_station,Disa,28.473833,-16.421222
POI_000197,287006159,petrol_station,PCAN,28.456,-16.362139
POI_000198,287006147,petrol_station,Moeve,28.46961,-16.39586
POI_000199,839484060,petrol_station,BP Los Naranjeros,28.480694,-16.397972
POI_000200,839489597,petrol_station,Repsol,28.5104596,-16.3986735
POI_000201,903038603,petrol_station,Moeve,28.4873431,-16.3829482
POI_000202,839485203,petrol_station,PCAN,28.4958734,-16.3782397
POI_000203,839477821,petrol_station,Repsol,28.518167,-16.389
POI_000204,839477144,petrol_station,TEJINA,28.530833,-16.359722
POI_000205,839468531,petrol_station,Disa,28.5337135,-16.3631591
POI_000206,287006078,petrol_station,PCAN,28.3995522,-16.3508335
POI_000207,287006439,petrol_station,Repsol,28.426391,-16.2994884
POI_000208,839471032,petrol_station,Disa,28.441806,-16.313667
POI_000209,1677778331,petrol_station,Estación de Servicio Tgas Los Baldíos,28.4570897,-16.3298644
POI_000210,839488557,petrol_station,Moeve (Los Andenes),28.447444,-16.30725
POI_000211,287006420,petrol_station,Repsol,28.4557568,-16.3169534
POI_000212,287006093,petrol_station,PCAN,28.473972,-16.336667
POI_000213,278693970,petrol_station,Shell,28.4814397,-16.3134995
POI_000214,287006424,petrol_station,Tgas,28.484639,-16.313778
POI_000215,839488365,petrol_station,BP TACO,28.440222,-16.303528
POI_000216,839469859,petrol_station,Moeve,28.436528,-16.282167
POI_000217,287006431,petrol_station,TGAS Hipertrébol,28.442083,-16.284056
POI_000218,7663551196,petrol_station,GM Oil,28.4437881,-16.2835327
POI_000219,903037689,petrol_station,Estación de Servicio BP Taco Norte,28.4494508,-16.294587
