Gestor de red;Provincia;Municipio;Coordenada UTM X [1];Coordenada UTM Y [1];Subestación;Nivel de tensión (kV);Capacidad firme disponible (MW) [2];Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW) [3];Capacidad firme admitida y no evaluada (MW) [4];Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Nombre Subestación;Matrícula Sub.;Nudo Afección RdT
R1-002;Madrid;Madrid;447379,81;4471104,07;VLC;15;0;0;101,3;0;;;0;;VALLECAS 2;VA2;VALLECAS 220
R1-002;Madrid;Madrid;447379,81;4471104,07;VLC;45;0,85;0;0;0;;;0;;VALLECAS 2;VA2;VALLECAS 220
R1-002;Madrid;Madrid;448808,09;4471991,95;3020410200;15;0;0;36,65;0;;;0;;VICALVARO;VCL;VALLECAS 220
R1-002;Madrid;Madrid;448808,09;4471991,95;3020410200;45;0;0;0;5;;;0;;VICALVARO;VCL;VALLECAS 220
R1-002;Madrid;Madrid;441413,11;4468361,15;3020030089;15;0;0;35,5;17,98;;;0;;VILLAVERDE;VVD;GETAFE 220
R1-002;Madrid;Madrid;441413,11;4468361,15;3020030089;45;0;0;0;0;;;0;;VILLAVERDE;VVD;GETAFE 220
R1-002;Madrid;Mejorada del Campo;459626,44;4471215,81;3020100027;15;0;0;59,03;0;;;0;;MEJORADA;MEJ;LOECHES 220
R1-002;Madrid;Mejorada del Campo;459626,44;4471215,81;3020100027;45;0;0;0;0;;;0;;MEJORADA;MEJ;LOECHES 220
R1-002;Madrid;Navas del Rey;394046,26;4465142,17;3020410013;132;0;0;0,08;0;;;0;;C.H.LAS PICADAS;LPC;VILLAVICIOSA 400
R1-002;Madrid;Nuevo Baztán;479561,12;4469492,83;3020100121;15;0;0;24,73;0;;;0;;NUEVO BAZTAN;NBZ;LOECHES 220
R1-002;Madrid;Nuevo Baztán;479561,12;4469492,83;3020100121;45;0;0;0;0;;;0;;NUEVO BAZTAN;NBZ;LOECHES 220
R1-002;Madrid;Perales de Tajuña;470241,94;4453871,61;3020100035;15;0;0;23,29;0;;;0;;PERALES;PRE;LOECHES 220
R1-002;Madrid;Perales de Tajuña;470241,94;4453871,61;3020100035;45;0;0;0;0;;;0;;PERALES;PRE;LOECHES 220
R1-002;Madrid;Pinto;442317,16;4458066,25;3020410584;15;0;0;41,91;0;;;0;;LOS ARENALES;ARL;GETAFE 220
R1-002;Madrid;Pinto;442317,16;4458066,25;3020410584;45;0;0;0,62;0;;;0;;LOS ARENALES;ARL;GETAFE 220
R1-002;Madrid;Rivas-Vaciamadrid;454691;4471086;3020420414;15;0;0;33,27;0;;;0;;CRISTO DE RIVAS;CRV;LOECHES 220
R1-002;Madrid;Rivas-Vaciamadrid;454691;4471086;3020420414;132;0;0;0;0;;;0;;CRISTO DE RIVAS;CRV;LOECHES 220
R1-002;Madrid;Rivas-Vaciamadrid;456428,97;4465648,47;3020410842;15;0;0;32,23;1,2;;;0;;MIRADOR DEL SUR;MSU;LOECHES 220
R1-002;Madrid;Rivas-Vaciamadrid;456428,97;4465648,47;3020410842;132;0;0;0;0;;;0;;MIRADOR DEL SUR;MSU;LOECHES 220
R1-002;Madrid;Rivas-Vaciamadrid;455330,11;4466793,77;3020310105;15;0;0;53,09;0;;;0;;VACIAMADRID;VAM;ARGANDA 220
R1-002;Madrid;Rivas-Vaciamadrid;455330,11;4466793,77;3020310105;45;0;0;0;0;;;0;;VACIAMADRID;VAM;ARGANDA 220
R1-002;Madrid;San Fernando de Henares;456397,7;4477786,66;PSF;45;0;0;0;4,45;;;0;;PUENTE DE SAN FERNANDO;PSF;PUENTE SAN FERNANDO 220
R1-002;Madrid;San Martín de la Vega;448423,48;4453598,6;3020410194;15;0;0;11,58;1,69;;;0;;PARQUE TEMATICO WARNER;PTW;GETAFE 220
R1-002;Madrid;San Martín de la Vega;448423,48;4453598,6;3020410194;45;0;0;0;0;;;0;;PARQUE TEMATICO WARNER;PTW;GETAFE 220
R1-002;Madrid;San Martín de la Vega;451561,32;4451634,18;3020100044;15;0;0;29,95;0;;;0;;SAN MARTIN I;SM1;GETAFE 220
R1-002;Madrid;San Martín de la Vega;451561,32;4451634,18;3020100044;45;0;0;0;0;;;0;;SAN MARTIN I;SM1;GETAFE 220
R1-002;Madrid;San Martín de la Vega;446588,49;4454069,6;3020100046;15;0;0;29,37;0;;;0;;SAN MARTIN II;SM2;GETAFE 220
R1-002;Madrid;San Martín de la Vega;446588,49;4454069,6;3020100046;45;0;0;0;0;;;0;;SAN MARTIN II;SM2;GETAFE 220
R1-002;Madrid;San Martín de Valdeiglesias;388844,49;4469889,73;3020410017;132;0;0;0;0;;;0;;C.H.SAN JUAN;SJV;VILLAVICIOSA 400
R1-002;Madrid;Valdemoro;444275,28;4449447,93;3020100050;15;0;0;28,99;14;;;0;;VALDEMORO;VDM;VALDEMORO 220
R1-002;Madrid;Valdemoro;444275,28;4449447,93;3020100050;45;0;0;0;36;;;0;;VALDEMORO;VDM;VALDEMORO 220
R1-002;Madrid;Valdemoro;445125,42;4446086,48;VDM;15;0;0;37,01;0;;;0;;VALDEMORO 2;VD2;VALDEMORO 220
R1-002;Madrid;Valdemoro;445125,42;4446086,48;VDM;45;0;0;0;0;;;0;;VALDEMORO 2;VD2;VALDEMORO 220
R1-002;Madrid;Valdemoro;445125,42;4446086,48;VDM;132;0;0;50;0;;;0;;VALDEMORO 2;VD2;VALDEMORO 220
R1-002;Madrid;Villalbilla;469848,25;4475735,64;3020100022;15;0;0;27,28;13,6;;;0;;LOS HUEROS;HUR;LOECHES 220
R1-002;Madrid;Villalbilla;469848,25;4475735,64;3020100022;45;0;0;0;28,35;;;0;;LOS HUEROS;HUR;LOECHES 220
R1-002;Madrid;Villarejo de Salvanés;475155,88;4447608,77;3020410206;15;0;0;23,52;0;;;0;;VILLAREJO DE SALVANES;VDS;LOECHES 220
R1-002;Madrid;Villarejo de Salvanés;475155,88;4447608,77;3020410206;45;0;0;0;0;;;0;;VILLAREJO DE SALVANES;VDS;LOECHES 220
R1-002;Madrid;Villaviciosa de Odón;423196,22;4466816,82;VVI;132;0,98;0;0;0;;;0;;VILLAVICIOSA DE ODON;VDO;VILLAVICIOSA 400
R1-002;Ourense;A Rúa;160429,27;4701822,96;2920200111;20;0;0;11,26;0;;;0;;A RUA;RUA;CHANTADA 220
R1-002;Ourense;A Rúa;160429,27;4701822,96;2920200111;132;2,18;0;0;0;;;0;;A RUA;RUA;CHANTADA 220
R1-002;Ourense;Allariz;104030,93;4681209,64;2920200054;20;0;0;14,85;0;;;0;;ALLARIZ;ALL;CHANTADA 220
R1-002;Ourense;Allariz;104030,93;4681209,64;2920200054;132;0,76;0;0;0;;;0;;ALLARIZ;ALL;CHANTADA 220
R1-002;Ourense;Boborás;75505,23;4706862,95;ALB;20;0;0;10,8;0;;;0;;ALBARELLOS;ALB;ALBARELLOS 220
R1-002;Ourense;Carballeda de Valdeorras;182042,86;4700172,03;2920420220;20;0;0;26,8;0;;;0;;CARBALLEDA;CRL;CHANTADA 220
R1-002;Ourense;Carballeda de Valdeorras;182042,86;4700172,03;2920420220;132;2,23;0;0;0;;;0;;CARBALLEDA;CRL;CHANTADA 220
R1-002;Ourense;Castrelo de Miño;78380,95;4694837,49;CTL;20;0;0;24,59;0;;;0;;CASTRELO;CAS;CASTRELO 220
R1-002;Ourense;Celanova;91504,13;4677830,09;2920200062;20;0;0;12,97;0;;;0;;CELANOVA;CEL;FRIEIRA 220
R1-002;Ourense;Celanova;91504,13;4677830,09;2920200062;132;0,88;0;0;0;;;0;;CELANOVA;CEL;FRIEIRA 220
R1-002;Ourense;Lobios;80888,03;4655602,5;2920200034;20;0;0;5,71;0;;;0;;CONCHAS;CCH;FRIEIRA 220
R1-002;Ourense;Lobios;80888,03;4655602,5;2920200034;132;2,14;0;0;0;;;0;;CONCHAS;CCH;FRIEIRA 220
R1-002;Ourense;Muíños;87134,96;4656922,56;2920420016;132;1,04;0;0;0;;;0;;SALAS;SLS;FRIEIRA 220
R1-002;Ourense;O Barco de Valdeorras;170430,98;4704006,2;2920200035;15;0;0;11,52;0;;;0;;O BARCO;BDV;CHANTADA 220
R1-002;Ourense;O Barco de Valdeorras;170430,98;4704006,2;2920200035;132;2,19;0;0;0;;;0;;O BARCO;BDV;CHANTADA 220
R1-002;Ourense;O Carballiño;84062,62;4710592,73;2920320005;20;0;0;21,33;0;;;0;;CARBALLINO;CNO;CHANTADA 220
R1-002;Ourense;O Carballiño;84062,62;4710592,73;2920320005;132;0,64;0;0;0;;;0;;CARBALLINO;CNO;CHANTADA 220
R1-002;Ourense;O Irixo;238303;4704881;2920420176;132;0,64;0;10;0;;;0;;P.E.IRIXO;IRI;CHANTADA 220
R1-002;Ourense;Ourense;99006,18;4698590,01;2920200060;20;0;0;93,51;2,5;;;0;;BARBAÑA;BBA;CHANTADA 220
R1-002;Ourense;Ourense;99006,18;4698590,01;2920200060;132;0,69;0;0;0;;;0;;BARBAÑA;BBA;CHANTADA 220
R1-002;Ourense;Ourense;92295,37;4701174,59;2920420111;20;0;0;18,62;0;;;0;;SACEDA;SAC;CHANTADA 220
R1-002;Ourense;Ourense;92295,37;4701174,59;2920420111;132;0;0;7,23;0;;;0;;SACEDA;SAC;CHANTADA 220
R1-002;Ourense;Ourense;100649,86;4700910,44;VEL;20;0;0;87,91;0;;;0;;VELLE;VLL;VELLE 220
R1-002;Ourense;Padrenda;70897,59;4679928,25;FRI;20;0;0;16,87;0,8;;;0;;FRIEIRA;FRI;FRIEIRA 220
R1-002;Ourense;Padrenda;70897,59;4679928,25;FRI;132;2,7;0;0;0;;;0;;FRIEIRA;FRI;FRIEIRA 220
R1-002;Ourense;Parada de Sil;128777,14;4702370,51;2920200043;20;0;0;4,38;0;;;0;;REGUEIRO;REG;CHANTADA 220
R1-002;Ourense;Parada de Sil;128777,14;4702370,51;2920200043;132;2,23;0;0;0;;;0;;REGUEIRO;REG;CHANTADA 220
R1-002;Ourense;San Cibrao das Viñas;102685,12;4693245,96;2920200038;20;0;0;46,73;0;;;0;;SAN CIPRIAN;SCV;CHANTADA 220
R1-002;Ourense;San Cibrao das Viñas;102685,12;4693245,96;2920200038;132;0,74;0;0;0;;;0;;SAN CIPRIAN;SCV;CHANTADA 220
R1-002;Ourense;Sarreaus;113216,13;4674314,24;2920420137;20;0;0;8,4;0;;;0;;SARREAUS;SRS;CHANTADA 220
R1-002;Ourense;Sarreaus;113216,13;4674314,24;2920420137;132;0,78;0;0;0;;;0;;SARREAUS;SRS;CHANTADA 220
R1-002;Ourense;Verín;129785,17;4651909,53;2920420285;20;0;0;32,96;0;;;0;;VERIN II;VII;FRIEIRA 220
R1-002;Ourense;Verín;129785,17;4651909,53;2920420285;132;0,85;0;0;0;;;0;;VERIN II;VII;FRIEIRA 220
R1-002;Ourense;Xinzo de Limia;115290,47;4654961,86;2920420116;132;0,47;0;0,43;0;;;0;;LAROUCO;LAC;FRIEIRA 220
R1-002;Ourense;Xinzo de Limia;110541,18;4667015,94;2920200053;20;0;0;28,83;1,25;;;0;;XINZO;XIN;CHANTADA 220
R1-002;Ourense;Xinzo de Limia;110541,18;4667015,94;2920200053;132;0,79;0;0;0;;;0;;XINZO;XIN;CHANTADA 220
R1-002;Pontevedra;A Estrada;49046,16;4740542,61;2920200013;20;0;0;21,73;0;;;0;;ESTRADA;LES;TIBO 220
R1-002;Pontevedra;A Estrada;49046,16;4740542,61;2920200013;66;2,8;0;0;0;;;0;;ESTRADA;LES;TIBO 220
R1-002;Pontevedra;Barro;33800,88;4723133,67;2920420297;20;0;0;6,78;0;;;0;;BARRO;BRA;TIBO 220
R1-002;Pontevedra;Barro;33800,88;4723133,67;2920420297;66;1,98;0;0;0;;;0;;BARRO;BRA;TIBO 220
R1-002;Pontevedra;Caldas de Reis;36835,7;4730255,88;TIB;20;0;0;40,96;0;;;0;;TIBO;TIB;TIBO 220
R1-002;Pontevedra;Caldas de Reis;36835,7;4730255,88;TIB;66;2,79;0;0;0;;;0;;TIBO;TIB;TIBO 220
R1-002;Pontevedra;Cambados;24835,79;4722959,19;2920200020;20;0;0;33,43;5,25;;;0;;CAMBADOS;CBD;TIBO 220
R1-002;Pontevedra;Cambados;24835,79;4722959,19;2920200020;66;0,36;0;0;0;;;0;;CAMBADOS;CBD;TIBO 220
R1-002;Pontevedra;Cangas;23076,65;4698165,39;2920420284;20;0;0;53,97;0;;;0;;CANGAS 2;CII;LOURIZAN 220
R1-002;Pontevedra;Cangas;23076,65;4698165,39;2920420284;66;1,24;0;0;0;;;0;;CANGAS 2;CII;LOURIZAN 220
R1-002;Pontevedra;Cerdedo-Cotobade;46397,26;4722652,21;2920200016;20;0;0;3,63;0;;;0;;SAN JORGE;SJG;TIBO 220
R1-002;Pontevedra;Cerdedo-Cotobade;46397,26;4722652,21;2920200016;66;1,44;0;0;0;;;0;;SAN JORGE;SJG;TIBO 220
R1-002;Pontevedra;Gondomar;19531,86;4678684,93;2920200021;20;0;0;45,6;0;;;0;;GONDOMAR;GON;ATIOS 220
R1-002;Pontevedra;Gondomar;19531,86;4678684,93;2920200021;132;2,65;0;0;0;;;0;;GONDOMAR;GON;ATIOS 220
R1-002;Pontevedra;Lalín;80980,67;4734879,53;2920200012;20;0;0;12,79;0;;;0;;LALIN;LAL;CHANTADA 220
R1-002;Pontevedra;Lalín;80980,67;4734879,53;2920200012;66;3,28;0;0;0;;;0;;LALIN;LAL;CHANTADA 220
R1-002;Pontevedra;Mos;34044,29;4689138,04;2920200120;15;0;0;27,17;6,5;;;0;;MOS;MOS;PAZOS DE BORBEN 220
R1-002;Pontevedra;Mos;34044,29;4689138,04;2920200120;132;3,6;0;14;0;;;0;;MOS;MOS;PAZOS DE BORBEN 220
R1-002;Pontevedra;O Porriño;35334,14;4680381,75;ATI;15;0;0;153,52;0;;;0;;ATIOS;ATI;ATIOS 220
R1-002;Pontevedra;O Porriño;35334,14;4680381,75;ATI;132;3,46;0;10;0;;;0;;ATIOS;ATI;ATIOS 220
R1-002;Pontevedra;O Rosal;15036,2;4658333,85;2920200006;20;0;0;21,01;0;;;0;;ROSAL;ROS;ATIOS 220
R1-002;Pontevedra;O Rosal;15036,2;4658333,85;2920200006;132;2,91;0;0;0;;;0;;ROSAL;ROS;ATIOS 220
R1-002;Pontevedra;Pazos de Borbén;38882,5;4694151,55;PAZ;66;4,86;0;0;0;;;0;;PAZOS DE BORBEN;PZO;PAZOS DE BORBEN 220
R1-002;Pontevedra;Pazos de Borbén;38882,5;4694151,55;PAZ;132;3,29;0;0;0;;;0;;PAZOS DE BORBEN;PZO;PAZOS DE BORBEN 220
R1-002;Pontevedra;Ponte Caldelas;42571,55;4705445,49;2920200023;20;0;0;12,76;0;;;0;;PONTECALDELAS;PTC;PAZOS DE BORBEN 220
R1-002;Pontevedra;Ponte Caldelas;42571,55;4705445,49;2920200023;66;1,13;0;0;0;;;0;;PONTECALDELAS;PTC;PAZOS DE BORBEN 220
R1-002;Pontevedra;Ponteareas;45322,46;4684996,29;2920200024;20;0;0;36,62;0;;;0;;PONTEAREAS;PTA;FRIEIRA 220
R1-002;Pontevedra;Ponteareas;45322,46;4684996,29;2920200024;132;3,58;0;0;0;;;0;;PONTEAREAS;PTA;FRIEIRA 220
R1-002;Pontevedra;Pontevedra;33865,68;4711681,62;LOU;20;0;0;84,8;5;;;0;;LOURIZAN;LOZ;LOURIZAN 220
R1-002;Pontevedra;Pontevedra;33865,68;4711681,62;LOU;66;1,02;0;0;0;;;0;;LOURIZAN;LOZ;LOURIZAN 220
R1-002;Pontevedra;Pontevedra;37672,05;4713757,4;2920200007;20;0;0;63,78;0;;;0;;MOURENTE;MUR;TIBO 220
R1-002;Pontevedra;Pontevedra;37672,05;4713757,4;2920200007;66;1,44;0;0;0;;;0;;MOURENTE;MUR;TIBO 220
R1-002;Pontevedra;Pontevedra;37624,15;4703923,2;2920200002;20;0;0;22,7;2,84;;;0;;PONTESAMPAIO;PSY;PAZOS DE BORBEN 220
R1-002;Pontevedra;Pontevedra;37624,15;4703923,2;2920200002;66;1,14;0;0;0;;;0;;PONTESAMPAIO;PSY;PAZOS DE BORBEN 220
R1-002;Pontevedra;Redondela;36327,98;4696735,15;2920200017;15;0;0;40,46;20;;;0;;REDONDELA;RED;PAZOS DE BORBEN 220
R1-002;Pontevedra;Redondela;36327,98;4696735,15;2920200017;66;0,79;0;0;0;;;0;;REDONDELA;RED;PAZOS DE BORBEN 220
R1-002;Pontevedra;Salvaterra de Miño;47939,58;4674203,02;2920200019;20;0;0;56,44;0;;;0;;SALVATERRA;SAL;ATIOS 220
R1-002;Pontevedra;Salvaterra de Miño;47939,58;4674203,02;2920200019;132;3,61;0;25;0;;;0;;SALVATERRA;SAL;ATIOS 220
R1-002;Pontevedra;Sanxenxo;22513,15;4714584,49;2920420292;20;0;0;14,26;8,4;;;0;;SANXENXO;SAX;LOURIZAN 220
R1-002;Pontevedra;Sanxenxo;22513,15;4714584,49;2920420292;66;0,31;0;0;0;;;0;;SANXENXO;SAX;LOURIZAN 220
R1-002;Pontevedra;Sanxenxo;20207,23;4715472,41;2920200011;20;0;0;39,79;1,52;;;0;;VILLALONGA;VLG;LOURIZAN 220
R1-002;Pontevedra;Sanxenxo;20207,23;4715472,41;2920200011;66;0,32;0;0;5;;;0;;VILLALONGA;VLG;LOURIZAN 220
R1-002;Pontevedra;Silleda;62262,21;4749107,58;2920420255;20;0;0;12,39;0;;;0;;PAIZAS;PAI;PORTODEMOUROS 220
R1-002;Pontevedra;Silleda;62262,21;4749107,58;2920420255;66;5,26;0;8;0;;;0;;PAIZAS;PAI;PORTODEMOUROS 220
R1-002;Pontevedra;Tui;31667,06;4671445,74;2920320002;20;0;0;32,9;0,95;;;0;;TUI;TUI;ATIOS 220
R1-002;Pontevedra;Tui;31667,06;4671445,74;2920320002;132;3,23;0;0;0;;;0;;TUI;TUI;ATIOS 220
R1-002;Pontevedra;Vigo;26462,8;4689111,56;2920200003;15;0;0;113,17;0;;;0;;BALAIDOS;BAL;ATIOS 220
R1-002;Pontevedra;Vigo;26462,8;4689111,56;2920200003;132;2,57;0;0;0;;;0;;BALAIDOS;BAL;ATIOS 220
R1-002;Pontevedra;Vigo;27413,21;4691734,9;2920420191;15;0;0;57,6;0,62;;;0;;EL CASTRO;CAT;PAZOS DE BORBEN 220
R1-002;Pontevedra;Vigo;27413,21;4691734,9;2920420191;132;2,39;0;0;0;;;0;;EL CASTRO;CAT;PAZOS DE BORBEN 220
R1-002;Pontevedra;Vigo;29485,03;4688961,52;2920200018;15;0;0;58,54;20,68;;;0;;SARDOMA;SDM;PAZOS DE BORBEN 220
R1-002;Pontevedra;Vigo;29485,03;4688961,52;2920200018;132;3,75;0;0;0;;;0;;SARDOMA;SDM;PAZOS DE BORBEN 220
R1-002;Pontevedra;Vigo;30108,29;4692632,77;2920200001;15;0;0;69;0,56;;;0;;TRONCAL;TRO;PAZOS DE BORBEN 220
R1-002;Pontevedra;Vigo;30108,29;4692632,77;2920200001;132;3,23;0;0;0;;;0;;TRONCAL;TRO;PAZOS DE BORBEN 220
R1-002;Pontevedra;Vigo;28419,06;4685016,98;2920420145;15;0;0;72,55;0;;;0;;VALLADARES;VAA;ATIOS 220
R1-002;Pontevedra;Vigo;28419,06;4685016,98;2920420145;132;2,8;0;0,04;0;;;0;;VALLADARES;VAA;ATIOS 220
R1-002;Pontevedra;Vila de Cruces;75949,52;4757644,97;PDM;15;0;0;18;0;;;0;;PORTODEMOUROS;POR;PORTODEMOUROS 220
R1-002;Pontevedra;Vila de Cruces;75949,52;4757644,97;PDM;66;7,28;0;28;0;;;0;;PORTODEMOUROS;POR;PORTODEMOUROS 220
R1-002;Pontevedra;Vilagarcía de Arousa;28403,67;4731978,34;2920420129;20;0;0;71,57;10;;;0;;VILAGARCIA DE AROUSA;VAR;TIBO 220
R1-002;Pontevedra;Vilagarcía de Arousa;28403,67;4731978,34;2920420129;66;0,88;0;0;0;;;0;;VILAGARCIA DE AROUSA;VAR;TIBO 220
R1-002;Segovia;Arcones;439187,71;4554336,73;3020410893;15;0;0;2,93;0;;;0;;PRADENA;PRA;LASTRAS 400
R1-002;Segovia;Arcones;439187,71;4554336,73;3020410893;45;0;0;0;0;;;0;;PRADENA;PRA;LASTRAS 400
R1-002;Segovia;Bernardos;388105,26;4556201,63;3020300105;15;0;0;23,48;0;;;0;;PUENTE DE PIEDRA;PPI;LASTRAS 400
R1-002;Segovia;Bernardos;388105,26;4556201,63;3020300105;45;0,49;0;0;0;;;0;;PUENTE DE PIEDRA;PPI;LASTRAS 400
R1-002;Segovia;Bernardos;388105,26;4556201,63;3020300105;132;0;0;0;0;;;0;;PUENTE DE PIEDRA;PPI;LASTRAS 400
R1-002;Segovia;Boceguillas;446764;4576573,64;3020100013;15;0;0;8,99;0;;;0;;BOCEGUILLAS;BOG;LASTRAS 400
R1-002;Segovia;Boceguillas;446764;4576573,64;3020100013;45;0;0;0;0;;;0;;BOCEGUILLAS;BOG;LASTRAS 400
R1-002;Segovia;Campo de San Pedro;454027,47;4586882,26;3020100015;15;0;0;2,48;0;;;0;;CAMPO DE SAN PEDRO;CSP;LASTRAS 400
R1-002;Segovia;Campo de San Pedro;454027,47;4586882,26;3020100015;45;0;0;0;0;;;0;;CAMPO DE SAN PEDRO;CSP;LASTRAS 400
R1-002;Segovia;Cantalejo;423988,67;4568149,52;3020100016;15;0,04;0;10,97;0;;;0;;CANTALEJO;CJO;LASTRAS 400
R1-002;Segovia;Cantalejo;423988,67;4568149,52;3020100016;45;1,11;0;0;0;;;0;;CANTALEJO;CJO;LASTRAS 400
R1-002;Segovia;Cantalejo;423988,67;4568149,52;3020100016;132;0;0;0,23;0;;;0;;CANTALEJO;CJO;LASTRAS 400
R1-002;Segovia;Carrascal del Río;425842,95;4576589,15;3020300102;15;0;0;3,3;0;;;0;;C.H.BURGOMILLODO;BUO;LASTRAS 400
R1-002;Segovia;Carrascal del Río;425842,95;4576589,15;3020300102;45;0;0;0;0;;;0;;C.H.BURGOMILLODO;BUO;LASTRAS 400
R1-002;Segovia;Cuéllar;390535,41;4583408,08;3020300103;15;0;0;14,89;2,89;;;0;;CUELLAR;CLL;LASTRAS 400
R1-002;Segovia;Cuéllar;390535,41;4583408,08;3020300103;45;0;0;0;0;;;0;;CUELLAR;CLL;LASTRAS 400
R1-002;Segovia;El Espinar;392782,89;4510961,28;3020100018;15;0;0;11,67;0;;;0;;CRISTO DEL CALOCO;CRI;LASTRAS 400
R1-002;Segovia;El Espinar;392782,89;4510961,28;3020100018;45;0;0;0;0;;;0;;CRISTO DEL CALOCO;CRI;LASTRAS 400
R1-002;Segovia;El Espinar;395893,72;4515008,58;3020100021;15;0,33;0;4,14;0;;;0;;LOS ANGELES DE S. RAFAEL;ARF;LASTRAS 400
R1-002;Segovia;El Espinar;395893,72;4515008,58;3020100021;45;0;0;0;0;;;0;;LOS ANGELES DE S. RAFAEL;ARF;LASTRAS 400
R1-002;Segovia;Escalona del Prado;406371,35;4556510,09;3020100020;15;0;0;10,58;0;;;0;;ESCALONA DEL PRADO;EDP;LASTRAS 400
R1-002;Segovia;Escalona del Prado;406371,35;4556510,09;3020100020;45;0;0;0;0;;;0;;ESCALONA DEL PRADO;EDP;LASTRAS 400
R1-002;Segovia;Fuentepelayo;401849;4563702;3020420415;45;0;0;0;2;;;0;;FUENTEPELAYO;FTP;LASTRAS 400
R1-002;Segovia;Lastras del Pozo;387173,15;4526405,68;LST;15;0;0;3,47;5;;;0;;LASTRAS DEL POZO;LAS;LASTRAS 400
R1-002;Segovia;Lastras del Pozo;387173,15;4526405,68;LST;45;1,34;0;0;0;;;0;;LASTRAS DEL POZO;LAS;LASTRAS 400
R1-002;Segovia;Lastras del Pozo;387173,15;4526405,68;LST;132;2,08;0;0;0;;;0;;LASTRAS DEL POZO;LAS;LASTRAS 400
R1-002;Segovia;Nava de la Asunción;374215,51;4557102,69;3020300104;15;0;0;18,54;0;;;0;;NAVA DE LA ASUNCION;NAS;LASTRAS 400
R1-002;Segovia;Nava de la Asunción;374215,51;4557102,69;3020300104;45;0;0;0;0;;;0;;NAVA DE LA ASUNCION;NAS;LASTRAS 400
R1-002;Segovia;Otero de Herreros;398191,47;4518616,25;3020100023;15;0;0;6,46;0;;;0;;OTERO DE HERREROS;OTE;LASTRAS 400
R1-002;Segovia;Otero de Herreros;398191,47;4518616,25;3020100023;45;0;0;0;0;;;0;;OTERO DE HERREROS;OTE;LASTRAS 400
R1-002;Segovia;Real Sitio de San Ildefonso;415223,86;4528706,78;3020100026;15;0;0;7,54;0;;;0;;SAN ILDEFONSO;ILD;LASTRAS 400
R1-002;Segovia;Real Sitio de San Ildefonso;415223,86;4528706,78;3020100026;45;0;0;0;0;;;0;;SAN ILDEFONSO;ILD;LASTRAS 400
R1-002;Segovia;Riaza;458576,49;4569316,2;3020100025;15;0;0;10,57;3,2;;;0;;RIAZA;RIZ;LASTRAS 400
R1-002;Segovia;Riaza;458576,49;4569316,2;3020100025;45;0;0;0;0;;;0;;RIAZA;RIZ;LASTRAS 400
R1-002;Segovia;San Martín y Mudrián;386890,83;4561999,2;3020410188;45;0;0;5,47;4,7;;;0;;DIGESNOR;DIG;LASTRAS 400
R1-002;Segovia;Sanchonuño;390232,45;4575542,42;3020410254;15;0;0;27,82;0;;;0;;SANCHONUÑO;SCH;LASTRAS 400
R1-002;Segovia;Sanchonuño;390232,45;4575542,42;3020410254;45;0;0;0;0;;;0;;SANCHONUÑO;SCH;LASTRAS 400
R1-002;Segovia;Segovia;406915,84;4533831,11;3020100038;15;0;0;44,2;9,28;;;0;;BATANES;BAT;LASTRAS 400
R1-002;Segovia;Segovia;406915,84;4533831,11;3020100038;45;0;0;0;0;;;0;;BATANES;BAT;LASTRAS 400
R1-002;Segovia;Segovia;406092,15;4531049,72;3020100017;15;0;0;47,96;0;;;0;;CERRO DE LA HORCA;CDH;LASTRAS 400
R1-002;Segovia;Segovia;406092,15;4531049,72;3020100017;45;0;0;0;0;;;0;;CERRO DE LA HORCA;CDH;LASTRAS 400
R1-002;Segovia;Segovia;408869,71;4532080,83;3020410542;15;0;0;11,37;0;;;0;;PALAZUELOS;PZL;LASTRAS 400
R1-002;Segovia;Segovia;408869,71;4532080,83;3020410542;45;1,16;0;0;0;;;0;;PALAZUELOS;PZL;LASTRAS 400
R1-002;Segovia;Segovia;408869,71;4532080,83;3020410542;132;0;0;0;0;;;0;;PALAZUELOS;PZL;LASTRAS 400
R1-002;Segovia;Segovia;402777,85;4531102,69;3020410005;45;1,28;0;0;0;;;0;;PEROGORDO;PGD;LASTRAS 400
R1-002;Segovia;Segovia;402777,85;4531102,69;3020410005;132;0;0;0;0;;;0;;PEROGORDO;PGD;LASTRAS 400
R1-002;Segovia;Turégano;415967,68;4556650,74;3020300106;15;0;0;6,71;0;;;0;;TUREGANO;TUR;LASTRAS 400
R1-002;Segovia;Turégano;415967,68;4556650,74;3020300106;45;0;0;0;0;;;0;;TUREGANO;TUR;LASTRAS 400
R1-002;Segovia;Valverde del Majano;399178,32;4534734,65;3020100028;15;0;0;22,26;1,8;;;0;;VALVERDE DEL MAJANO;VMJ;LASTRAS 400
R1-002;Segovia;Valverde del Majano;399178,32;4534734,65;3020100028;45;0;0;10;0;;;0;;VALVERDE DEL MAJANO;VMJ;LASTRAS 400
R1-002;Segovia;Villacastín;380001,08;4515542,37;3020420361;15;0;0;12,98;0;;;0;;VILLACASTIN;VCS;LASTRAS 400
R1-002;Segovia;Villacastín;380001,08;4515542,37;3020420361;45;0;0;4,44;0;;;0;;VILLACASTIN;VCS;LASTRAS 400
